,area_type,location,total_sqft,bath,balcony,price,BHK
5181,Super built-up  Area,Raja Rajeshwari Nagar,1510.0,2.0,3.0,59.0,3
5182,Super built-up  Area,Raja Rajeshwari Nagar,1128.0,2.0,1.0,48.79,2
5183,Super built-up  Area,Raja Rajeshwari Nagar,1267.0,2.0,2.0,42.85,2
5184,Super built-up  Area,Raja Rajeshwari Nagar,550.0,1.0,0.0,21.0,1
5185,Super built-up  Area,Raja Rajeshwari Nagar,1120.0,2.0,2.0,37.95,2
5186,Super built-up  Area,Raja Rajeshwari Nagar,1210.0,2.0,2.0,45.0,2
5187,Super built-up  Area,Raja Rajeshwari Nagar,1240.0,2.0,1.0,53.27,2
5188,Super built-up  Area,Raja Rajeshwari Nagar,1165.0,2.0,1.0,45.0,2
5189,Super built-up  Area,Raja Rajeshwari Nagar,1120.0,2.0,2.0,37.97,2
5190,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.65,2
5191,Super built-up  Area,Raja Rajeshwari Nagar,1095.0,2.0,1.0,38.33,2
5192,Super built-up  Area,Raja Rajeshwari Nagar,1420.0,2.0,2.0,60.0,3
5193,Super built-up  Area,Raja Rajeshwari Nagar,1303.0,2.0,2.0,44.17,2
5194,Super built-up  Area,Raja Rajeshwari Nagar,1580.0,3.0,3.0,53.56,3
5195,Super built-up  Area,Raja Rajeshwari Nagar,1185.0,2.0,1.0,40.17,2
5196,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,1.0,49.27,2
5197,Super built-up  Area,Raja Rajeshwari Nagar,1430.0,2.0,1.0,50.0,3
5198,Super built-up  Area,Raja Rajeshwari Nagar,1095.0,2.0,2.0,38.33,2
5199,Super built-up  Area,Raja Rajeshwari Nagar,1280.0,3.0,2.0,57.6,3
5200,Super built-up  Area,Raja Rajeshwari Nagar,1303.0,2.0,1.0,55.79,2
5201,Super built-up  Area,Raja Rajeshwari Nagar,1133.0,2.0,2.0,38.41,2
5202,Super built-up  Area,Raja Rajeshwari Nagar,1151.0,2.0,1.0,49.0,2
5203,Super built-up  Area,Raja Rajeshwari Nagar,1267.0,2.0,1.0,54.35,2
5204,Super built-up  Area,Raja Rajeshwari Nagar,1550.0,3.0,3.0,52.45,3
5205,Super built-up  Area,Raja Rajeshwari Nagar,1185.0,2.0,2.0,40.17,2
5206,Super built-up  Area,Raja Rajeshwari Nagar,1751.0,3.0,3.0,72.0,3
5207,Super built-up  Area,Raja Rajeshwari Nagar,1306.0,2.0,2.0,44.17,2
5208,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.44,2
5209,Super built-up  Area,Raja Rajeshwari Nagar,1128.0,2.0,2.0,40.0,2
5210,Super built-up  Area,Raja Rajeshwari Nagar,1151.0,2.0,2.0,39.0,2
5211,Super built-up  Area,Raja Rajeshwari Nagar,1375.0,2.0,1.0,54.99,3
5212,Super built-up  Area,Raja Rajeshwari Nagar,1060.0,2.0,1.0,48.0,2
5213,Super built-up  Area,Raja Rajeshwari Nagar,1128.0,2.0,1.0,48.79,2
5214,Super built-up  Area,Raja Rajeshwari Nagar,1400.0,2.0,2.0,48.0,3
5215,Super built-up  Area,Raja Rajeshwari Nagar,1170.0,2.0,3.0,50.0,2
5216,Super built-up  Area,Raja Rajeshwari Nagar,1185.0,2.0,1.0,51.15,2
5217,Super built-up  Area,Raja Rajeshwari Nagar,1255.0,2.0,1.0,53.87,2
5218,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,1.0,60.42,2
5219,Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,1.0,71.38,3
5220,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
5221,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
5222,Super built-up  Area,Raja Rajeshwari Nagar,1630.0,3.0,2.0,60.65,3
5223,Super built-up  Area,Raja Rajeshwari Nagar,1531.0,3.0,3.0,51.77,3
5224,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,1.0,48.7,2
5225,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.55,2
5226,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,55.47,2
5227,Super built-up  Area,Raja Rajeshwari Nagar,1133.0,2.0,2.0,40.0,2
5228,Super built-up  Area,Raja Rajeshwari Nagar,1510.0,2.0,2.0,55.0,3
5229,Super built-up  Area,Raja Rajeshwari Nagar,1110.0,2.0,1.0,52.0,2
5230,Super built-up  Area,Raja Rajeshwari Nagar,1608.0,3.0,3.0,54.51,3
5231,Super built-up  Area,Raja Rajeshwari Nagar,1500.0,3.0,3.0,51.04,3
5232,Super built-up  Area,Raja Rajeshwari Nagar,1185.0,2.0,1.0,51.15,2
5233,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2
5234,Super built-up  Area,Raja Rajeshwari Nagar,1279.0,2.0,1.0,53.76,3
5235,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
5236,Super built-up  Area,Raja Rajeshwari Nagar,1240.0,2.0,2.0,42.04,2
5237,Super built-up  Area,Raja Rajeshwari Nagar,1530.0,3.0,2.0,64.0,3
5238,Super built-up  Area,Raja Rajeshwari Nagar,1587.0,3.0,1.0,73.8,3
5239,Super built-up  Area,Raja Rajeshwari Nagar,1529.0,3.0,3.0,51.77,3
5240,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,1.0,55.47,2
5241,Super built-up  Area,Raja Rajeshwari Nagar,1450.0,2.0,1.0,67.0,3
5242,Super built-up  Area,Raja Rajeshwari Nagar,945.0,2.0,1.0,45.0,2
5243,Super built-up  Area,Raja Rajeshwari Nagar,1303.0,2.0,2.0,55.78,2
5244,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,2.0,48.1,2
5245,Super built-up  Area,Raja Rajeshwari Nagar,1270.0,2.0,2.0,62.0,2
5246,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
5247,Super built-up  Area,Raja Rajeshwari Nagar,1580.0,2.0,2.0,66.85,3
5248,Super built-up  Area,Raja Rajeshwari Nagar,1050.0,2.0,2.0,37.0,2
5249,Super built-up  Area,Raja Rajeshwari Nagar,1196.0,2.0,2.0,40.54,2
5250,Super built-up  Area,Raja Rajeshwari Nagar,1206.0,2.0,1.0,40.7,2
5251,Super built-up  Area,Raja Rajeshwari Nagar,1485.0,2.0,2.0,63.0,3
5252,Super built-up  Area,Raja Rajeshwari Nagar,1335.0,2.0,1.0,56.0,3
5253,Super built-up  Area,Raja Rajeshwari Nagar,1571.0,3.0,3.0,53.12,3
5254,Super built-up  Area,Raja Rajeshwari Nagar,1255.0,2.0,2.0,42.54,2
5255,Super built-up  Area,Raja Rajeshwari Nagar,1530.0,3.0,3.0,64.86,3
5256,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,44.0,2
5257,Super built-up  Area,Raja Rajeshwari Nagar,1140.0,2.0,2.0,39.0,2
5258,Super built-up  Area,Raja Rajeshwari Nagar,510.0,1.0,1.0,22.0,1
5259,Super built-up  Area,Raja Rajeshwari Nagar,1187.0,2.0,2.0,40.14,2
5260,Built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,229.0,3
5261,Built-up  Area,Rajaji Nagar,5000.0,4.0,0.0,375.0,4
5262,Built-up  Area,Rajaji Nagar,660.0,1.0,0.0,75.0,1
5263,Built-up  Area,Rajaji Nagar,1440.0,2.0,2.0,170.0,2
5264,Built-up  Area,Rajaji Nagar,3730.0,4.0,3.0,370.0,4
5265,Built-up  Area,Rajaji Nagar,2300.0,3.0,3.0,369.0,3
5266,Built-up  Area,Rajaji Nagar,720.0,2.0,2.0,65.0,2
5267,Built-up  Area,Rajaji Nagar,1600.0,3.0,0.0,140.0,4
5268,Built-up  Area,Rajaji Nagar,2300.0,4.0,1.0,240.0,3
5269,Plot  Area,Rajaji Nagar,1800.0,4.0,2.0,324.0,6
5270,Plot  Area,Rajaji Nagar,1160.0,1.0,0.0,163.0,2
5271,Plot  Area,Rajaji Nagar,1200.0,3.0,1.0,260.0,5
5272,Plot  Area,Rajaji Nagar,1538.0,5.0,2.0,300.0,5
5273,Plot  Area,Rajaji Nagar,900.0,4.0,0.0,140.0,5
5274,Plot  Area,Rajaji Nagar,2400.0,3.0,1.0,320.0,5
5275,Plot  Area,Rajaji Nagar,432.0,2.0,1.0,65.0,2
5276,Plot  Area,Rajaji Nagar,1200.0,1.0,1.0,200.0,2
5277,Plot  Area,Rajaji Nagar,2440.0,2.0,0.0,415.0,4
5278,Plot  Area,Rajaji Nagar,1350.0,4.0,1.0,230.0,4
5279,Plot  Area,Rajaji Nagar,2400.0,5.0,1.0,408.0,5
5280,Plot  Area,Rajaji Nagar,1200.0,10.0,2.0,180.0,8
5281,Plot  Area,Rajaji Nagar,1314.0,2.0,0.0,225.0,2
5282,Super built-up  Area,Rajaji Nagar,1725.0,3.0,3.0,200.0,3
5283,Super built-up  Area,Rajaji Nagar,3516.0,4.0,3.0,540.0,4
5284,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3.0,223.0,3
5285,Super built-up  Area,Rajaji Nagar,3526.0,4.0,2.0,492.0,4
5286,Super built-up  Area,Rajaji Nagar,3526.0,4.0,1.0,558.0,4
5287,Super built-up  Area,Rajaji Nagar,3539.5,2.0,2.0,424.5,4
5288,Super built-up  Area,Rajaji Nagar,2849.0,5.0,0.0,300.0,5
5289,Super built-up  Area,Rajaji Nagar,1800.0,3.0,3.0,260.0,3
5290,Super built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,241.0,3
5291,Super built-up  Area,Rajaji Nagar,1370.0,2.0,1.0,170.0,2
5292,Super built-up  Area,Rajaji Nagar,2409.0,3.0,2.0,360.0,3
5293,Super built-up  Area,Rajaji Nagar,3436.0,6.0,3.0,475.0,4
5294,Super built-up  Area,Rajaji Nagar,2386.0,3.0,2.0,334.0,3
5295,Super built-up  Area,Rajaji Nagar,3436.0,6.0,3.0,500.0,4
5296,Super built-up  Area,Rajaji Nagar,2448.0,3.0,2.0,400.0,3
5297,Super built-up  Area,Rajaji Nagar,1440.0,2.0,2.0,185.0,2
5298,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3.0,230.0,3
5299,Super built-up  Area,Rajaji Nagar,2648.0,5.0,0.0,251.5,4
5300,Super built-up  Area,Rajaji Nagar,1800.0,2.0,2.0,250.0,3
5301,Super built-up  Area,Rajaji Nagar,1357.0,2.0,1.0,130.0,2
5302,Super built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,220.0,3
5303,Super built-up  Area,Rajaji Nagar,2500.0,3.0,3.0,350.0,3
5304,Super built-up  Area,Rajaji Nagar,1615.0,3.0,1.0,175.0,3
5305,Super built-up  Area,Rajaji Nagar,1776.0,3.0,1.0,190.0,3
5306,Super built-up  Area,Rajaji Nagar,2559.0,3.0,2.0,403.0,3
5307,Super built-up  Area,Rajaji Nagar,1763.0,3.0,2.0,262.0,2
5308,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3.0,220.0,3
5309,Super built-up  Area,Rajaji Nagar,1380.0,3.0,3.0,130.0,3
5310,Super built-up  Area,Rajaji Nagar,1800.0,3.0,2.0,240.0,3
5311,Super built-up  Area,Rajaji Nagar,1268.0,2.0,1.0,127.0,2
5312,Super built-up  Area,Rajaji Nagar,2450.0,3.0,3.0,330.0,3
5313,Super built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,262.0,3
5314,Super built-up  Area,Rajaji Nagar,2367.0,3.0,3.0,375.0,3
5315,Super built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,251.0,3
5316,Super built-up  Area,Rajaji Nagar,2733.0,5.0,2.0,259.0,4
5317,Super built-up  Area,Rajaji Nagar,1640.0,3.0,2.0,268.0,3
5318,Super built-up  Area,Rajaji Nagar,2367.0,4.0,3.0,340.0,3
5319,Super built-up  Area,Rajaji Nagar,1720.0,3.0,2.0,224.0,3
5320,Super built-up  Area,Rajaji Nagar,3600.0,5.0,2.0,510.0,5
5321,Super built-up  Area,Rajaji Nagar,1700.0,3.0,2.0,200.0,3
5322,Super built-up  Area,Rajaji Nagar,2500.0,3.0,3.0,340.0,3
5323,Super built-up  Area,Rajaji Nagar,2390.0,3.0,1.0,372.0,3
5324,Super built-up  Area,Rajaji Nagar,2415.0,3.0,2.0,399.0,3
5325,Super built-up  Area,Rajaji Nagar,1718.0,3.0,2.0,275.0,2
5326,Super built-up  Area,Rajaji Nagar,1763.0,3.0,2.0,240.0,2
5327,Super built-up  Area,Rajaji Nagar,2367.0,3.0,2.0,320.0,3
5328,Super built-up  Area,Rajaji Nagar,2409.0,3.0,3.0,395.0,3
5329,Super built-up  Area,Rajaji Nagar,1440.0,2.0,2.0,165.0,2
5330,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3.0,245.0,3
5331,Built-up  Area,Rajiv Nagar,972.0,2.0,2.0,43.0,2
5332,Super built-up  Area,Rajiv Nagar,2340.0,4.0,1.0,148.0,4
5333,Super built-up  Area,Rajiv Nagar,2340.0,5.0,1.0,129.0,4
5334,Super built-up  Area,Rajiv Nagar,1330.0,2.0,1.0,93.0,2
5335,Super built-up  Area,Rajiv Nagar,2340.0,5.0,1.0,129.0,4
5336,Super built-up  Area,Rajiv Nagar,1309.0,2.0,1.0,80.0,2
5337,Super built-up  Area,Rajiv Nagar,2340.0,4.0,1.0,145.0,4
5338,Super built-up  Area,Rajiv Nagar,2340.0,5.0,1.0,160.0,4
5339,Built-up  Area,Ramagondanahalli,920.0,2.0,3.0,65.0,2
5340,Built-up  Area,Ramagondanahalli,2800.0,4.0,3.0,155.0,4
5341,Built-up  Area,Ramagondanahalli,1910.0,3.0,2.0,142.0,3
5342,Built-up  Area,Ramagondanahalli,2040.0,3.0,2.0,114.0,3
5343,Plot  Area,Ramagondanahalli,540.0,1.0,0.0,30.0,1
5344,Plot  Area,Ramagondanahalli,845.0,2.0,1.0,45.82,2
5345,Plot  Area,Ramagondanahalli,1200.0,3.0,1.0,56.1,3
5346,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2
5347,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,47.0,2
5348,Super built-up  Area,Ramagondanahalli,1235.0,2.0,1.0,52.04,2
5349,Super built-up  Area,Ramagondanahalli,1635.0,3.0,1.0,62.0,3
5350,Super built-up  Area,Ramagondanahalli,1235.0,2.0,1.0,46.8,2
5351,Super built-up  Area,Ramagondanahalli,1215.0,2.0,1.0,51.26,2
5352,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,47.4,2
5353,Super built-up  Area,Ramagondanahalli,1215.0,2.0,1.0,45.5,2
5354,Super built-up  Area,Ramagondanahalli,1253.0,2.0,1.0,52.66,2
5355,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,50.5,2
5356,Super built-up  Area,Ramagondanahalli,1235.0,2.0,1.0,49.3,2
5357,Super built-up  Area,Ramagondanahalli,1451.0,3.0,1.0,60.44,3
5358,Super built-up  Area,Ramagondanahalli,1215.0,2.0,1.0,46.1,2
5359,Super built-up  Area,Ramagondanahalli,1475.0,2.0,2.0,63.0,3
5360,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,50.0,2
5361,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,43.6,2
5362,Super built-up  Area,Ramagondanahalli,1635.0,3.0,1.0,61.0,3
5363,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,53.0,2
5364,Super built-up  Area,Ramagondanahalli,1738.0,2.0,3.0,76.0,3
5365,Super built-up  Area,Ramagondanahalli,3350.0,3.0,3.0,150.0,3
5366,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1.0,46.0,2
5367,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,46.0,2
5368,Super built-up  Area,Ramagondanahalli,1475.0,2.0,2.0,55.0,3
5369,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,42.5,2
5370,Super built-up  Area,Ramagondanahalli,1680.0,2.0,2.0,68.0,3
5371,Built-up  Area,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4
5372,Built-up  Area,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5
5373,Built-up  Area,Ramamurthy Nagar,1050.0,2.0,0.0,37.0,2
5374,Built-up  Area,Ramamurthy Nagar,1040.0,2.0,2.0,50.0,2
5375,Built-up  Area,Ramamurthy Nagar,1600.0,3.0,2.0,75.0,3
5376,Built-up  Area,Ramamurthy Nagar,950.0,2.0,1.0,50.79,2
5377,Built-up  Area,Ramamurthy Nagar,1525.0,3.0,1.0,100.0,3
5378,Built-up  Area,Ramamurthy Nagar,3600.0,3.0,2.0,150.0,3
5379,Built-up  Area,Ramamurthy Nagar,1300.0,2.0,2.0,52.0,3
5380,Built-up  Area,Ramamurthy Nagar,1600.0,3.0,0.0,75.0,3
5381,Built-up  Area,Ramamurthy Nagar,700.0,2.0,1.0,33.0,2
5382,Built-up  Area,Ramamurthy Nagar,1334.0,2.0,1.0,67.0,2
5383,Built-up  Area,Ramamurthy Nagar,2316.0,3.0,0.0,125.0,3
5384,Built-up  Area,Ramamurthy Nagar,1200.0,2.0,1.0,68.0,2
5385,Built-up  Area,Ramamurthy Nagar,540.0,1.0,0.0,35.0,1
5386,Built-up  Area,Ramamurthy Nagar,960.0,2.0,2.0,35.0,2
5387,Plot  Area,Ramamurthy Nagar,1800.0,4.0,3.0,187.0,5
5388,Plot  Area,Ramamurthy Nagar,1200.0,2.0,0.0,80.0,2
5389,Plot  Area,Ramamurthy Nagar,1330.0,4.0,1.0,140.0,3
5390,Plot  Area,Ramamurthy Nagar,600.0,3.0,2.0,45.0,2
5391,Plot  Area,Ramamurthy Nagar,2000.0,9.0,2.0,150.0,9
5392,Plot  Area,Ramamurthy Nagar,1200.0,2.0,1.0,78.0,2
5393,Plot  Area,Ramamurthy Nagar,1200.0,2.0,1.0,76.0,2
5394,Plot  Area,Ramamurthy Nagar,800.0,4.0,0.0,88.0,3
5395,Plot  Area,Ramamurthy Nagar,1200.0,4.0,1.0,110.0,6
5396,Plot  Area,Ramamurthy Nagar,1350.0,5.0,1.0,120.0,5
5397,Plot  Area,Ramamurthy Nagar,945.0,5.0,2.0,120.0,4
5398,Plot  Area,Ramamurthy Nagar,1200.0,4.0,1.0,125.0,4
5399,Plot  Area,Ramamurthy Nagar,1900.0,4.0,2.0,185.0,4
5400,Plot  Area,Ramamurthy Nagar,2916.0,5.0,1.0,230.0,4
5401,Plot  Area,Ramamurthy Nagar,1200.0,6.0,2.0,150.0,7
5402,Super built-up  Area,Ramamurthy Nagar,1200.0,2.0,3.0,42.0,2
5403,Super built-up  Area,Ramamurthy Nagar,1515.0,3.0,3.0,65.0,3
5404,Super built-up  Area,Ramamurthy Nagar,1185.0,2.0,1.0,45.5,2
5405,Super built-up  Area,Ramamurthy Nagar,1170.0,2.0,2.0,46.8,2
5406,Super built-up  Area,Ramamurthy Nagar,1150.0,2.0,2.0,51.0,2
5407,Super built-up  Area,Ramamurthy Nagar,1200.0,2.0,1.0,48.0,2
5408,Super built-up  Area,Ramamurthy Nagar,1410.0,2.0,1.0,56.4,3
5409,Super built-up  Area,Ramamurthy Nagar,1000.0,2.0,1.0,41.0,3
5410,Super built-up  Area,Ramamurthy Nagar,1125.0,2.0,1.0,47.0,2
5411,Super built-up  Area,Ramamurthy Nagar,1200.0,2.0,1.0,46.0,2
5412,Super built-up  Area,Ramamurthy Nagar,1200.0,2.0,1.0,57.9,2
5413,Super built-up  Area,Ramamurthy Nagar,1305.0,3.0,1.0,60.0,3
5414,Super built-up  Area,Ramamurthy Nagar,1170.0,2.0,2.0,44.0,2
5415,Super built-up  Area,Ramamurthy Nagar,1050.0,2.0,1.0,51.66,2
5416,Super built-up  Area,Ramamurthy Nagar,1101.0,2.0,1.0,50.0,2
5417,Super built-up  Area,Ramamurthy Nagar,1150.0,2.0,2.0,40.0,2
5418,Super built-up  Area,Ramamurthy Nagar,1208.0,2.0,2.0,43.5,3
5419,Super built-up  Area,Ramamurthy Nagar,1050.0,2.0,2.0,37.8,2
5420,Super built-up  Area,Ramamurthy Nagar,935.0,2.0,2.0,39.0,2
5421,Built-up  Area,Rayasandra,1199.0,2.0,1.0,48.5,3
5422,Built-up  Area,Rayasandra,470.0,1.0,1.0,21.0,1
5423,Built-up  Area,Rayasandra,3600.0,5.0,3.0,145.0,5
5424,Super built-up  Area,Rayasandra,1314.0,2.0,2.0,63.0,3
5425,Super built-up  Area,Rayasandra,1708.0,3.0,2.0,75.0,3
5426,Super built-up  Area,Rayasandra,1577.0,3.0,2.0,67.0,3
5427,Super built-up  Area,Rayasandra,1253.0,2.0,2.0,57.0,2
5428,Super built-up  Area,Rayasandra,583.0,1.0,1.0,26.9,1
5429,Super built-up  Area,Rayasandra,1198.0,2.0,1.0,54.0,2
5430,Super built-up  Area,Rayasandra,1555.0,3.0,2.0,75.17,3
5431,Super built-up  Area,Rayasandra,1179.0,2.0,1.0,55.0,3
5432,Super built-up  Area,Rayasandra,1601.0,3.0,3.0,70.0,3
5433,Super built-up  Area,Rayasandra,1708.0,3.0,1.0,76.0,4
5434,Super built-up  Area,Rayasandra,1357.0,2.0,2.0,59.0,3
5435,Built-up  Area,Sahakara Nagar,1655.0,3.0,1.0,115.0,3
5436,Built-up  Area,Sahakara Nagar,1150.0,2.0,1.0,54.0,2
5437,Built-up  Area,Sahakara Nagar,1100.0,2.0,1.0,55.0,2
5438,Built-up  Area,Sahakara Nagar,1100.0,2.0,1.0,55.0,2
5439,Built-up  Area,Sahakara Nagar,1200.0,2.0,2.0,60.0,2
5440,Built-up  Area,Sahakara Nagar,1032.0,2.0,2.0,45.0,2
5441,Built-up  Area,Sahakara Nagar,1201.0,2.0,3.0,80.0,2
5442,Plot  Area,Sahakara Nagar,1200.0,5.0,2.0,160.0,5
5443,Plot  Area,Sahakara Nagar,1200.0,2.0,1.0,136.0,2
5444,Plot  Area,Sahakara Nagar,2400.0,3.0,2.0,270.0,3
5445,Plot  Area,Sahakara Nagar,1000.0,5.0,2.0,130.0,5
5446,Plot  Area,Sahakara Nagar,1200.0,4.0,2.0,190.0,4
5447,Super built-up  Area,Sahakara Nagar,2830.0,3.0,3.0,195.0,4
5448,Super built-up  Area,Sahakara Nagar,1500.0,2.0,2.0,95.0,3
5449,Super built-up  Area,Sahakara Nagar,1100.0,2.0,1.0,56.0,2
5450,Super built-up  Area,Sahakara Nagar,1100.0,2.0,2.0,75.0,3
5451,Super built-up  Area,Sahakara Nagar,1270.0,2.0,1.0,69.85,2
5452,Super built-up  Area,Sahakara Nagar,960.0,2.0,3.0,56.0,2
5453,Super built-up  Area,Sahakara Nagar,1048.0,2.0,3.0,50.0,2
5454,Super built-up  Area,Sahakara Nagar,1160.0,2.0,1.0,55.0,2
5455,Super built-up  Area,Sahakara Nagar,1200.0,2.0,2.0,75.0,3
5456,Super built-up  Area,Sahakara Nagar,1000.0,2.0,1.0,60.0,2
5457,Super built-up  Area,Sahakara Nagar,1370.0,2.0,2.0,90.0,3
5458,Super built-up  Area,Sahakara Nagar,1100.0,2.0,2.0,75.0,3
5459,Super built-up  Area,Sahakara Nagar,1180.0,2.0,2.0,72.0,2
5460,Super built-up  Area,Sahakara Nagar,1291.0,2.0,2.0,72.3,2
5461,Built-up  Area,Sanjay nagar,1000.0,2.0,2.0,70.0,2
5462,Built-up  Area,Sanjay nagar,630.0,1.0,1.0,35.0,2
5463,Built-up  Area,Sanjay nagar,3300.0,3.0,2.0,250.0,5
5464,Built-up  Area,Sanjay nagar,1575.0,2.0,2.0,90.0,2
5465,Built-up  Area,Sanjay nagar,1150.0,2.0,0.0,70.0,2
5466,Plot  Area,Sanjay nagar,750.0,2.0,0.0,110.0,4
5467,Plot  Area,Sanjay nagar,2400.0,3.0,3.0,310.0,3
5468,Plot  Area,Sanjay nagar,2700.0,4.0,2.0,350.0,4
5469,Super built-up  Area,Sanjay nagar,1150.0,2.0,3.0,72.2,2
5470,Super built-up  Area,Sanjay nagar,1200.0,2.0,1.0,76.0,3
5471,Super built-up  Area,Sanjay nagar,960.0,2.0,1.0,55.0,2
5472,Super built-up  Area,Sanjay nagar,1050.0,2.0,0.0,59.0,2
5473,Super built-up  Area,Sanjay nagar,1180.0,2.0,3.0,80.0,2
5474,Built-up  Area,Sarakki Nagar,1200.0,4.0,1.0,85.0,4
5475,Plot  Area,Sarakki Nagar,1200.0,3.0,2.0,128.0,3
5476,Super built-up  Area,Sarakki Nagar,2121.0,4.0,3.0,253.0,3
5477,Super built-up  Area,Sarakki Nagar,2289.0,3.0,2.0,260.0,3
5478,Super built-up  Area,Sarakki Nagar,2145.0,4.0,1.0,270.0,3
5479,Super built-up  Area,Sarakki Nagar,2663.0,4.0,1.0,338.0,3
5480,Super built-up  Area,Sarakki Nagar,3131.0,4.0,3.0,349.0,4
5481,Super built-up  Area,Sarakki Nagar,3126.0,5.0,3.0,345.0,4
5482,Super built-up  Area,Sarakki Nagar,3124.0,6.0,3.0,349.0,4
5483,Built-up  Area,Sarjapur,900.0,2.0,1.0,42.0,3
5484,Built-up  Area,Sarjapur,1020.0,2.0,2.0,35.0,2
5485,Built-up  Area,Sarjapur,1195.0,2.0,1.0,42.0,2
5486,Built-up  Area,Sarjapur,1550.0,2.0,2.0,65.0,4
5487,Built-up  Area,Sarjapur,1285.0,2.0,2.0,68.0,3
5488,Built-up  Area,Sarjapur,1215.0,2.0,0.0,40.0,2
5489,Built-up  Area,Sarjapur,2885.0,3.0,1.0,185.0,4
5490,Built-up  Area,Sarjapur,1917.0,3.0,0.0,60.0,4
5491,Built-up  Area,Sarjapur,2585.5,4.0,0.0,139.5,4
5492,Built-up  Area,Sarjapur,2100.0,3.0,1.0,125.0,4
5493,Built-up  Area,Sarjapur,1830.0,3.0,1.0,88.0,3
5494,Built-up  Area,Sarjapur,1575.0,3.0,3.0,55.0,3
5495,Built-up  Area,Sarjapur,950.0,2.0,2.0,35.0,2
5496,Built-up  Area,Sarjapur,2585.5,4.0,0.0,115.0,4
5497,Built-up  Area,Sarjapur,1425.0,3.0,2.0,57.0,3
5498,Plot  Area,Sarjapur,2250.0,3.0,2.0,148.0,3
5499,Plot  Area,Sarjapur,1600.0,3.0,1.0,75.0,3
5500,Plot  Area,Sarjapur,1200.0,5.0,2.0,110.0,4
5501,Plot  Area,Sarjapur,3190.0,3.0,1.0,160.0,4
5502,Plot  Area,Sarjapur,2540.0,4.0,1.0,115.0,4
5503,Plot  Area,Sarjapur,1200.0,3.0,2.0,78.0,3
5504,Plot  Area,Sarjapur,2238.0,3.0,1.0,140.0,3
5505,Plot  Area,Sarjapur,2400.0,3.0,2.0,190.0,3
5506,Plot  Area,Sarjapur,4111.0,4.0,1.0,370.0,4
5507,Plot  Area,Sarjapur,1200.0,3.0,2.0,76.13,3
5508,Plot  Area,Sarjapur,2970.0,3.0,3.0,130.0,4
5509,Plot  Area,Sarjapur,2172.0,3.0,0.0,100.0,3
5510,Plot  Area,Sarjapur,1500.0,5.0,2.0,95.0,3
5511,Plot  Area,Sarjapur,2400.0,3.0,3.0,140.0,4
5512,Super built-up  Area,Sarjapur,1242.5,2.0,0.0,43.49,2
5513,Super built-up  Area,Sarjapur,913.0,2.0,1.0,32.0,2
5514,Super built-up  Area,Sarjapur,1185.0,2.0,2.0,47.0,2
5515,Super built-up  Area,Sarjapur,649.5,1.0,0.0,17.535,1
5516,Super built-up  Area,Sarjapur,1240.0,2.0,1.0,44.0,2
5517,Super built-up  Area,Sarjapur,950.0,2.0,2.0,32.5,2
